especie,familia,genero,latitude,longitude,estado,municipio,ano,mes,tipo_registro,dataset,id_gbif
Erythrolamprus Poecilogyrus,Colubridae,Erythrolamprus,-29.696191,-51.481249,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032941
Trachycephalus Mesophaeus,Hylidae,Trachycephalus,-23.459559,-45.061319,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032952
Psarocolius Decumanus,Icteridae,Psarocolius,-18.920813,-54.866397,Mato Grosso Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938033050
Megalobulimus Ovatus,Strophocheilidae,Megalobulimus,-22.354872,-43.092878,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938035846
Alpaida Versicolor,Araneidae,Alpaida,-23.545488,-46.731397,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938035887
Sula Leucogaster,Sulidae,Sula,-23.00749,-44.312414,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938035920
Sicalis Flaveola,Thraupidae,Sicalis,-20.409598,-41.052352,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036017
Nothura Boraquira,Tinamidae,Nothura,-18.80027,-41.896194,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036150
Turnera Subulata,Turneraceae,Turnera,-7.220903,-35.913469,Paraíba,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036251
Nephilingis Cruentata,Araneidae,Nephilingis,-27.577588,-48.518784,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036444
Sphenoclypeana Parana,Cercopidae,Sphenoclypeana,-23.648221,-46.617371,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036474
Eucometis Penicillata,Thraupidae,Eucometis,-18.921167,-54.865933,Mato Grosso Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036592
Diptilon Halterata,Erebidae,Diptilon,-29.613683,-53.69082,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036872
Marpesia Petreus,Nymphalidae,Marpesia,-29.598044,-53.713646,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938036876
Dione Vanillae,Nymphalidae,Dione,-23.40968,-47.35743,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938037048
Arundinicola Leucocephala,Tyrannidae,Arundinicola,-20.364368,-40.336379,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938037053
Heptapleurum Actinophyllum,Araliaceae,Heptapleurum,-21.774593,-48.171892,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938038380
Athene Cunicularia,Strigidae,Athene,-6.798772,-43.022495,Piauí,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938038421
Cholus Annulatus,Curculionidae,Cholus,-29.013916,-49.444871,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938038441
Falco Sparverius,Falconidae,Falco,-31.771694,-52.3417,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938038466
Hydrochoerus Hydrochaeris,Caviidae,Hydrochoerus,-27.581641,-48.508427,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938039574
Cyanocorax Caeruleus,Corvidae,Cyanocorax,-27.076577,-48.884767,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938039642
Chrysomus Ruficapillus,Icteridae,Chrysomus,-22.330227,-44.532163,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938039714
Thamnophilus Palliatus,Thamnophilidae,Thamnophilus,-22.693911,-43.919293,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938040503
Cyrtonota Sexpustulata,Chrysomelidae,Cyrtonota,-22.928412,-42.583582,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938040575
Chauna Torquata,Anhimidae,Chauna,-16.42532,-56.670115,Mato Grosso,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938041531
Gasteracantha Cancriformis,Araneidae,Gasteracantha,-23.58356,-46.47881,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938041609
Evania Appendigaster,Evaniidae,Evania,-26.151606,-48.716967,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938042333
Macrostemum Ulmeri,Hydropsychidae,Macrostemum,-25.387188,-48.978108,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938042384
Fluvicola Nengeta,Tyrannidae,Fluvicola,-20.364368,-40.336379,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938042398
Carpobrotus Chilensis,Aizoaceae,Carpobrotus,-29.603995,-49.988892,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938043822
Paraselenis Axillaris,Chrysomelidae,Paraselenis,-23.28475,-44.633294,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938043963
Anthracothorax Nigricollis,Trochilidae,Anthracothorax,-27.368931,-53.385322,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938043995
Canistrum Camacaense,Bromeliaceae,Canistrum,-15.307391,-39.466053,Bahia,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938044008
Ameiva Ameiva,Teiidae,Ameiva,0.654022,-51.635958,Amapá,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938044187
Veniliornis Passerinus,Picidae,Veniliornis,-22.621125,-52.172226,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938044192
Hypanartia Bella,Nymphalidae,Hypanartia,-29.632641,-53.61125,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938044223
Dipsas Neuwiedi,Colubridae,Dipsas,-23.749063,-45.744933,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938044578
Opuntia Dillenii,Cactaceae,Opuntia,-6.058443,-35.096827,Rio Grande Do Norte,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938045325
Heliconius Numatus,Nymphalidae,Heliconius,-3.062878,-59.905511,Amazonas,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938045339
Hastula Cinerea,Terebridae,Hastula,-8.19128,-34.918409,Pernambuco,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938046591
Ceretes Marcellserres,Castniidae,Ceretes,-22.350608,-42.32545,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938047488
Egretta Thula,Ardeidae,Egretta,-23.587022,-46.659625,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938048106
Anurocampa Mingens,Notodontidae,Anurocampa,-25.387278,-48.978062,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938048229
Canistrum Camacaense,Bromeliaceae,Canistrum,-15.336155,-39.585573,Bahia,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938048406
Tyrannus Melancholicus,Tyrannidae,Tyrannus,-15.737629,-47.864714,Distrito Federal,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938049931
Momordica Charantia,Cucurbitaceae,Momordica,-2.93024,-41.334371,Piauí,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938050027
Hamadryas Epinome,Nymphalidae,Hamadryas,-29.655637,-53.78197,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938050107
Molothrus Bonariensis,Icteridae,Molothrus,-15.588239,-56.090516,Mato Grosso,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938051304
Rhetus Arcius,Riodinidae,Rhetus,-22.997002,-43.374987,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938051344
Chrysomus Ruficapillus,Icteridae,Chrysomus,-6.798705,-43.02255,Piauí,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938051405
Myrmeciza Squamosa,Thamnophilidae,Myrmeciza,-23.315507,-44.716129,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938051420
Vanellus Chilensis,Charadriidae,Vanellus,-18.916687,-54.864808,Mato Grosso Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938051467
Pyrogaster Moestus,Lampyridae,Pyrogaster,-25.387347,-48.978508,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938055075
Myiobius Barbatus,Tyrannidae,Myiobius,-22.954224,-43.486729,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938056079
Paratemnoides Nidificator,Atemnidae,Paratemnoides,-9.904423,-56.097745,Mato Grosso,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938056787
Harmonia Axyridis,Coccinellidae,Harmonia,-23.055145,-46.63862,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938056809
Philodendron Eximium,Araceae,Philodendron,-23.752355,-45.782387,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938056890
Palicourea Rigida,Rubiaceae,Palicourea,-14.157843,-47.822927,Goiás,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058350
Hypselonotus Interruptus,Coreidae,Hypselonotus,-25.387617,-48.977612,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058506
Anartia Jatrophae,Nymphalidae,Anartia,-7.891187,-34.845135,Pernambuco,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058554
Arctosa Sapiranga,Lycosidae,Arctosa,-29.597192,-53.712409,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058560
Physalia Physalis,Physaliidae,Physalia,-3.344703,-39.142296,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058564
Sphenorhina Rubra,Cercopidae,Sphenorhina,-25.387287,-48.978905,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058598
Anartia Amathea,Nymphalidae,Anartia,-22.45046,-44.085139,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938058607
Eupetomena Macroura,Trochilidae,Eupetomena,-27.940911,-52.92167,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938059375
Thraupis Palmarum,Thraupidae,Thraupis,0.693589,-51.38847,Amapá,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938059401
Salvator Merianae,Teiidae,Salvator,-25.715541,-48.481301,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938061430
Boa Constrictor,Boidae,Boa,-21.934022,-46.716969,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938061600
Dolichothele Exilis,Theraphosidae,Dolichothele,-7.866262,-38.121025,Pernambuco,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938062238
Phymata Fortificata,Reduviidae,Phymata,-29.013969,-49.444692,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063606
Salvator Merianae,Teiidae,Salvator,-23.866135,-52.318305,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063619
Polybia Ignobilis,Eumenidae,Polybia,-23.542412,-46.701649,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063684
Euphonia Chlorotica,Fringillidae,Euphonia,-23.865878,-52.318528,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063705
Argiope Argentata,Araneidae,Argiope,-20.05519,-44.567496,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063771
Cicciana Latreillei,Cicadellidae,Cicciana,-25.387325,-48.979058,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063775
Jacana Jacana,Jacanidae,Jacana,-22.669661,-43.886855,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063821
Ctenus Ornatus,Ctenidae,Ctenus,-20.310805,-43.577332,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063851
Gnorimopsar Chopi,Icteridae,Gnorimopsar,-22.678845,-43.892199,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063906
Euphonia Violacea,Fringillidae,Euphonia,-15.847412,-48.978791,Goiás,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063931
Guira Guira,Cuculidae,Guira,-13.907762,-38.928705,Bahia,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063943
Columbina Squammata,Columbidae,Columbina,-3.948746,-38.276104,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938063952
Tringa Flavipes,Scolopacidae,Tringa,-23.006032,-43.634303,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938064615
Colaptes Melanochloros,Picidae,Colaptes,-29.626001,-53.946485,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938064695
Coelosis Bicornis,Scarabaeidae,Coelosis,-20.760387,-41.532558,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938064745
Misumenops Callinurus,Thomisidae,Misumenops,-27.010938,-48.579312,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938064867
Saltator Maximus,Thraupidae,Saltator,-9.531774,-35.849388,Alagoas,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938065043
Columbina Squammata,Columbidae,Columbina,-3.948746,-38.276104,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938065089
Cicciana Latreillei,Cicadellidae,Cicciana,-25.387158,-48.978047,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938065103
Notiochelidon Cyanoleuca,Hirundinidae,Notiochelidon,-31.333752,-54.10803,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938065143
Hirundinea Ferruginea,Tyrannidae,Hirundinea,-19.756809,-42.63404,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938066356
Heliconius Erato,Nymphalidae,Heliconius,-29.631361,-53.612746,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938066367
Hemithraupis Flavicollis,Thraupidae,Hemithraupis,-19.75706,-42.628538,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938066525
Opuntia Dillenii,Cactaceae,Opuntia,-6.058562,-35.097032,Rio Grande Do Norte,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938067499
Fluvicola Nengeta,Tyrannidae,Fluvicola,-22.597455,-47.879147,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938067592
Thaumatophyllum Corcovadense,Araceae,Thaumatophyllum,-23.743405,-45.72957,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938067620
Pseudomops Neglectus,Ectobiidae,Pseudomops,-23.583414,-46.478284,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938067721
Myiothlypis Leucoblephara,Parulidae,Myiothlypis,-22.717815,-45.82688,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938068330
Harmonia Axyridis,Coccinellidae,Harmonia,-25.387425,-48.977692,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938068370
Paectes Arcigera,Euteliidae,Paectes,-5.955941,-39.081665,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938068810
Melanchroia Aterea,Geometridae,Melanchroia,-29.47465,-49.834601,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938068859
Chionomesa Lactea,Trochilidae,Chionomesa,-18.80027,-41.896194,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938069077
Synallaxis Spixi,Furnariidae,Synallaxis,-26.517538,-49.060215,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938069078
Araucaria Angustifolia,Araucariaceae,Araucaria,-28.067459,-49.611486,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070397
Synoeca Cyanea,Vespidae,Synoeca,-22.435,-43.161326,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070409
Pristocnemus Pustulatus,Gonyleptidae,Pristocnemus,-25.38722,-48.978128,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070412
Fregata Magnificens,Fregatidae,Fregata,-20.364368,-40.336379,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070765
Philodendron Simonianum,Araceae,Philodendron,-23.619052,-45.610211,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070872
Micranthocereus Purpureus,Cactaceae,Micranthocereus,-13.367339,-41.241453,Bahia,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938070874
Averrhoa Bilimbi,Oxalidaceae,Averrhoa,-23.822577,-46.111467,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938072439
Dendrocolaptes Platyrostris,Furnariidae,Dendrocolaptes,-26.524529,-49.148271,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938073715
Asaphobelis Physonychus,Salticidae,Asaphobelis,-25.387062,-48.978092,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938074081
Rhinella Diptycha,Bufonidae,Rhinella,-9.583425,-35.798398,Alagoas,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938074150
Ascalapha Odorata,Erebidae,Ascalapha,-29.158297,-49.581997,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938074160
Dolichandra Cynanchoides,Bignoniaceae,Dolichandra,-30.338878,-51.036603,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938074276
Actitis Macularius,Scolopacidae,Actitis,-3.34458,-39.142345,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938074288
Dipsas Mikanii,Colubridae,Dipsas,-22.406697,-47.600528,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938075135
Buteo Albicaudatus,Accipitridae,Buteo,-26.524446,-49.149522,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938075156
Menemerus Bivittatus,Salticidae,Menemerus,-23.018499,-49.860014,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938075230
Hastula Cinerea,Terebridae,Hastula,-23.990543,-46.241921,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076004
Stelgidopteryx Ruficollis,Hirundinidae,Stelgidopteryx,-26.440135,-49.167626,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076332
Jacana Jacana,Jacanidae,Jacana,-29.934946,-51.740492,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076346
Dichorisandra Thyrsiflora,Commelinaceae,Dichorisandra,-23.403935,-46.535128,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076450
Copernicia Prunifera,Arecaceae,Copernicia,-6.702918,-38.959629,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076475
Sicalis Flaveola,Thraupidae,Sicalis,-7.146699,-34.835244,Paraíba,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938076585
Zeyheria Tuberculosa,Bignoniaceae,Zeyheria,-16.413852,-41.677862,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938077676
Falconina Gracilis,Corinnidae,Falconina,-21.139524,-44.985318,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938077696
Pteroglossus Castanotis,Ramphastidae,Pteroglossus,-21.85016,-50.701174,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938078497
Strobilanthes Alternata,Acanthaceae,Strobilanthes,-23.68388,-46.603285,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938078554
Ascalapha Odorata,Erebidae,Ascalapha,-23.63986,-46.86882,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938078641
Tityus Bahiensis,Buthidae,Tityus,-22.850347,-49.238327,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938078810
Copeoglossum Nigropunctatum,Scincidae,Copeoglossum,0.650703,-51.634497,Amapá,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938078964
